Code,CamId,Name,Location,Type,Publish,Management Unit,CamStatus,PTZ,Angle,DisplayName,VideoUrl,VideoStreaming,StartTime,EndTime
TTH 280,6623ecc16f998a001b25269e,TTH 280,"[10.838553676621, 106.675518751144]",tth,True,,UP,True,,Nguyễn Oanh - Nguyễn Văn Lượng,,0,4/29/24 14:04,11/18/25 17:27
TTH 258,6623e3ea6f998a001b2522ae,TTH 258,"[10.7700419300508, 106.682138442993]",tth,True,,UP,True,,Nguyễn Đình Chiểu - Cao Thắng,,0,4/29/24 14:03,11/18/25 17:46
TTH 375,662b7d0c1afb9c00172dc6a6,TTH 375,"[10.7652778808151, 106.690131425858]",tth,True,,UP,True,,Cống Quỳnh - Bùi Viện,,0,4/29/24 14:03,11/18/25 17:14
TTH 352,662b54bb1afb9c00172d8dbb,TTH 352,"[10.8502078623705, 106.652623414993]",tth,True,,UP,True,,Phạm Văn Chiêu - Đường số 59,,0,4/29/24 14:02,11/18/25 17:22
TTH 362,662b58bd1afb9c00172d9119,TTH 362,"[10.7937556552044, 106.66899561882]",tth,True,,UP,True,,Lê Văn Sỹ - Đặng Văn Ngữ,,0,4/29/24 14:02,11/18/25 17:16
TTH 21.75,595f86c43dcfc400106f28ea,TTH 21.75,"[10.8566248466676, 106.639485955238]",tth,True,,UP,False,240,Quốc lộ 1 - Nguyễn Văn Quá 1,,0,7/21/18 7:03,11/5/25 19:41
IDICO-QL1 34,59ca321b02eb490011a0a40d,IDICO-QL1 34,"[10.7286174804458, 106.601784825325]",tth,True,,UP,True,195,QL1 - Cầu An Lập,http://camera.thongtingiaothong.vn/s/59ca321b02eb490011a0a40d/index.m3u8,1,1/5/23 7:13,11/14/25 21:41
TTH 103,5a82439f5058170011f6eaa9,TTH 103,"[10.75113811876, 106.68364584446]",tth,True,,UP,False,180,Nguyễn Biểu - Cầu Chữ Y,,0,2/22/18 7:04,11/15/25 11:40
TTH 263,6623e5d66f998a001b25235a,TTH 263,"[10.783880433226, 106.670325994492]",tth,True,,UP,True,,Cách Mạng Tháng Tám - Đỗ Thị Lời,,0,4/29/24 14:02,11/19/25 9:30
TTH 45.4,58d7c20ac1e33c00112b321c,TTH 45.4,"[10.8207659432755, 106.69480919838]",tth,True,,UP,False,255,Phạm Văn Đồng - Phan Văn Trị 2,,0,5/20/17 11:14,11/1/25 2:50
TTH 49.4,589d0b74b3bf7600110283d4,TTH 49.4,"[10.7997417577515, 106.730428934097]",tth,True,,UP,False,90,Cầu Sài Gòn 4 (Thủ Đức 1),,0,5/20/17 11:14,11/17/25 7:50
TTH 28.3,56df807bc062921100c143da,TTH 28.3,"[10.8019180137061, 106.63648724556]",tth,True,Management Center of Sai Gon River Tunnel,UP,False,120,Trường Chinh - Âu Cơ,,0,5/20/17 11:14,10/20/25 6:30
TTH 389,662b82a61afb9c00172dcdfd,TTH 389,"[10.7916478442304, 106.689380407333]",tth,True,,UP,True,,Trần Quang Khải - Trần Nhật Duật,,0,4/29/24 14:03,11/18/25 16:39
